Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2022","2022","t","1945903.74","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5520","Feed","02211","Raw milk of cattle","2022","2022","t","9154.47","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5016","Loss","02211","Raw milk of cattle","2022","2022","t","58439.6","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5023","Processed","02211","Raw milk of cattle","2022","2022","t","778361.5","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","5141","Food supply quantity (tonnes)","02211","Raw milk of cattle","2022","2022","t","1099948.17","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","665","Food supply quantity (g/capita/day)","02211","Raw milk of cattle","2022","2022","g/cap/d","73.27","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5510","Production","02211","Raw milk of cattle","2022","2022","t","849690.26","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import quantity","02211","Raw milk of cattle","2022","2022","t","12998.94","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5910","Export quantity","02211","Raw milk of cattle","2022","2022","t","128.61","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5520","Feed","02211","Raw milk of cattle","2022","2022","t","87228.55","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5016","Loss","02211","Raw milk of cattle","2022","2022","t","70261.76","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5023","Processed","02211","Raw milk of cattle","2022","2022","t","203070","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5141","Food supply quantity (tonnes)","02211","Raw milk of cattle","2022","2022","t","502000.29","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","02211","Raw milk of cattle","2022","2022","g/cap/d","483.88","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5510","Production","02211","Raw milk of cattle","2022","2022","t","2433986.67","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import quantity","02211","Raw milk of cattle","2022","2022","t","1.23","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5910","Export quantity","02211","Raw milk of cattle","2022","2022","t","2","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5520","Feed","02211","Raw milk of cattle","2022","2022","t","30307.32","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5016","Loss","02211","Raw milk of cattle","2022","2022","t","218726.35","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5023","Processed","02211","Raw milk of cattle","2022","2022","t","106125.62","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5141","Food supply quantity (tonnes)","02211","Raw milk of cattle","2022","2022","t","2078826.61","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","02211","Raw milk of cattle","2022","2022","g/cap/d","126.84","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5510","Production","02211","Raw milk of cattle","2022","2022","t","223902.03","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5610","Import quantity","02211","Raw milk of cattle","2022","2022","t","13520.32","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5910","Export quantity","02211","Raw milk of cattle","2022","2022","t","15.02","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5520","Feed","02211","Raw milk of cattle","2022","2022","t","21196.82","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5016","Loss","02211","Raw milk of cattle","2022","2022","t","18690.01","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5023","Processed","02211","Raw milk of cattle","2022","2022","t","23742.18","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","5141","Food supply quantity (tonnes)","02211","Raw milk of cattle","2022","2022","t","173778.32","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","024","Angola","665","Food supply quantity (g/capita/day)","02211","Raw milk of cattle","2022","2022","g/cap/d","13.38","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5510","Production","02211","Raw milk of cattle","2022","2022","t","1970.14","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5610","Import quantity","02211","Raw milk of cattle","2022","2022","t","1357.98","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5520","Feed","02211","Raw milk of cattle","2022","2022","t","362.11","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5016","Loss","02211","Raw milk of cattle","2022","2022","t","214.31","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5164","Tourist consumption","02211","Raw milk of cattle","2022","2022","t","223.86","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5165","Other uses (non-food)","02211","Raw milk of cattle","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","5141","Food supply quantity (tonnes)","02211","Raw milk of cattle","2022","2022","t","2527.83","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","028","Antigua and Barbuda","665","Food supply quantity (g/capita/day)","02211","Raw milk of cattle","2022","2022","g/cap/d","73.86","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","032","Argentina","5510","Production","02211","Raw milk of cattle","2022","2022","t","11904142","A","Official figure",""
